time_period,time_identifier,level,country_code,country_name,school_type,characteristic_breakdown,characteristic_label,characteristic_2,headcount
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_and_Asian,Ethnicity_gender,Male,33940
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_and_Asian,Ethnicity_gender,Female,32700
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Any_other_Mixed_background,Ethnicity,Total,102670
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Any_other_Mixed_background,Ethnicity_gender,Male,52360
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Any_other_Mixed_background,Ethnicity_gender,Female,50315
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Major_Asian_Total,Ethnicity,Total,515150
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Major_Asian_Total,Ethnicity_gender,Male,262655
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Major_Asian_Total,Ethnicity_gender,Female,252495
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Indian,Ethnicity,Total,141120
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Indian,Ethnicity_gender,Male,72320
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Indian,Ethnicity_gender,Female,68800
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Pakistani,Ethnicity,Total,207865
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Pakistani,Ethnicity_gender,Male,105705
